[1023/010109:ERROR:process_info.cc(608)] range at 0xfffde000, size 0x230 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffdd000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffda000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffd7000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffaf000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffac000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffa9000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffa6000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffa3000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfffa0000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfff9d000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfff9a000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfff97000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfff94000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfff91000, size 0xf84 fully unreadable
[1023/010110:ERROR:process_info.cc(608)] range at 0xfff8e000, size 0xf84 fully unreadable
[1023/010120:ERROR:process_reader_win.cc(233)] ReadMemory at 0x1ad000 of 77824 bytes failed: Sólo se completó una parte de una solicitud ReadProcessMemory o WriteProcessMemory. (0x12B)
[1023/010120:ERROR:crash_report_exception_handler.cc(98)] WriteEverything failed
[1023/010120:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess: Se intentó obtener acceso a un proceso que está cerrándose.  (0xc000010a)
[1023/174634:ERROR:process_info.cc(608)] range at 0xfffde000, size 0x230 fully unreadable
[1023/174634:ERROR:process_info.cc(608)] range at 0xfffdd000, size 0xf84 fully unreadable
[1023/174634:ERROR:process_info.cc(608)] range at 0xfffd7000, size 0xf84 fully unreadable
[1023/174634:ERROR:process_info.cc(608)] range at 0xfffaf000, size 0xf84 fully unreadable
[1023/174634:ERROR:process_info.cc(608)] range at 0xfffac000, size 0xf84 fully unreadable
[1023/174634:ERROR:process_info.cc(608)] range at 0xfffa9000, size 0xf84 fully unreadable
[1030/225130:ERROR:process_info.cc(608)] range at 0xfffde000, size 0x230 fully unreadable
[1030/225143:ERROR:process_info.cc(608)] range at 0xfffdd000, size 0xf84 fully unreadable
[1030/225143:ERROR:process_info.cc(608)] range at 0xfffda000, size 0xf84 fully unreadable
[1030/225143:ERROR:process_info.cc(608)] range at 0xfffd7000, size 0xf84 fully unreadable
[1030/225143:ERROR:process_info.cc(608)] range at 0xfffaf000, size 0xf84 fully unreadable
[1030/225143:ERROR:process_info.cc(608)] range at 0xfffac000, size 0xf84 fully unreadable
